backers_count,category,country,creator,currency,goal,staff_pick,state,usd_pledged,location,blurb_length,duration
2,5,21,1298953794,13,0.047788793126824276,0,0,120.0,9853,0.6777861876067804,-1.8435521495025464
0,4,3,1455666383,1,0.9597057388506292,0,0,0.0,12813,-2.171380477387541,1.0082744931402552
7,9,16,2041751151,4,1.0725516272517002,0,0,16289.65702323,275,0.6777861876067804,-1.8435521495025464
68929,43,21,597507018,13,-1.3254567171628433,1,1,10266845.74,9625,0.007394031137528341,-0.29881271807102894
1,39,21,923813087,13,-0.7778097100533365,0,0,1.0,2414,0.8453842267240934,1.0676875481953134
1,39,21,2004926375,13,1.4237862984270924,0,0,1.0,6846,0.8453842267240934,0.6517961628099049
3,39,21,415792963,13,0.8733872963069851,0,0,36.0,14074,1.5157763831933455,1.0082744931402552
1,39,3,1020283778,1,-0.6977950904807871,0,0,45.8150265,3364,0.5101881484894674,1.0082744931402552
4,54,21,1071198032,13,-0.502610208993283,0,0,330.0,5640,1.0129822658414065,1.0676875481953134
1,54,3,1443949823,1,0.8733538320476563,0,0,0.79998784,9509,0.6777861876067804,1.0082744931402552
0,55,21,805079035,13,1.4237862984270924,0,0,0.0,5896,0.5101881484894674,1.0082744931402552
2,56,21,692896869,13,-0.6402099595233097,0,0,6.0,5640,1.0129822658414065,-0.7147041034564375
5,56,21,1621785263,13,0.6807476455649476,0,0,130.0,522,-0.9981942035663498,-0.7147041034564375
0,58,9,245190432,5,2.864457777992681,0,0,0.0,3325,0.6777861876067804,-1.7247260393924297
0,58,21,60948416,13,-0.7227698098413259,0,0,0.0,13098,0.17499207025484137,-0.7147041034564375
0,58,21,148311801,13,-0.7778097100533365,0,0,0.0,1357,1.0129822658414065,0.8894483830301384
0,58,21,314835350,13,0.1853885436568511,0,0,0.0,8635,0.8453842267240934,-1.0711824337867877
0,64,21,1470597863,13,1.4237862984270924,0,0,0.0,2334,1.0129822658414065,1.0676875481953134
2,64,5,635433513,4,1.58887886439232,0,0,38.15964504,5640,-0.16020400797978468,1.0082744931402552
26,64,21,1792238876,13,-0.6402099595233097,0,0,4253.69,8801,0.6777861876067804,-2.3188565899430134
1,64,21,1024761009,13,0.047788793126824276,0,0,1.0,12492,-0.49540008621441073,0.8894483830301384
1,63,21,1340436973,13,1.4237862984270924,0,0,1.0,13855,-0.9981942035663498,-0.7147041034564375
91585,66,21,559914737,13,-1.273168811961433,1,1,5702153.38,11022,1.1805803049587196,-0.7147041034564375
4,61,21,707546336,13,0.047788793126824276,0,0,271.0,8778,-2.506576555622167,1.0676875481953134
0,61,21,434641847,13,1.4237862984270924,0,0,0.0,3016,-0.9981942035663498,-0.7147041034564375
90,61,21,1833467562,13,-0.7778097100533365,0,0,32922.0,1582,0.007394031137528341,-0.7147041034564375
0,68,21,2059187970,13,-0.6402099595233097,0,0,0.0,5640,1.5157763831933455,-0.7147041034564375
0,68,21,1076478145,13,1.4237862984270924,0,0,0.0,7256,-0.16020400797978468,1.0676875481953134
2,70,21,934236838,13,0.047788793126824276,0,0,10.0,2334,0.6777861876067804,1.0676875481953134
73,68,21,101402785,13,-0.42005035867526686,0,0,14888.0,2803,-1.3333902818009757,0.176491722369438
1,68,21,108173960,13,-0.7778097100533365,0,0,100.0,8006,0.5101881484894674,-0.7147041034564375
2,70,21,1147624323,13,0.047788793126824276,0,0,76.0,8801,0.5101881484894674,-0.7147041034564375
0,70,9,575774401,5,-0.7144556641469703,0,0,0.0,7256,-1.836184399152915,-0.12057355290585385
48270,70,21,1587892087,13,-1.273168811961433,1,1,5764229.38,8132,0.6777861876067804,-0.6552910484013792
0,71,21,1933845750,13,1.396266348321087,0,0,0.0,10264,-0.16020400797978468,-0.1799866079609122
0,71,12,173436635,4,-0.6815463121384142,0,0,0.0,9819,-2.171380477387541,-0.41763882818114567
0,70,21,1474027141,13,-0.22741070793322934,0,0,0.0,4307,0.5101881484894674,-0.0017474427957371102
0,70,9,575774401,5,0.7201290244060425,0,0,0.0,1159,-1.836184399152915,1.0676875481953134
1,70,4,572161293,2,0.06207957297747139,0,0,22.22848672,5640,-2.338978516504854,1.0676875481953134
0,70,21,384925467,13,-0.502610208993283,0,0,0.0,7100,0.5101881484894674,-0.7147041034564375
0,68,21,2055389152,13,0.047788793126824276,0,0,0.0,7307,-0.16020400797978468,-0.7147041034564375
5,80,21,1672809818,13,-0.7227698098413259,0,0,322.0,10470,-0.16020400797978468,0.7706222729200217
0,77,21,575909070,13,-0.6402099595233097,0,0,0.0,9244,-2.003782438270228,-0.7147041034564375
0,82,4,676768410,2,1.4883070416102229,0,0,0.0,1049,0.6777861876067804,1.0676875481953134
63416,87,21,33844207,13,-1.3020647595727388,1,1,8596474.58,7307,0.5101881484894674,-0.7741171585114959
1,88,21,1984842510,13,1.4237862984270924,0,0,20.0,1669,1.1805803049587196,0.176491722369438
69320,93,21,1569150382,13,-1.273168811961433,1,1,6333295.77,12769,-0.9981942035663498,-0.5958779933463207
64867,93,21,978161709,13,-1.3144487371204412,1,1,5545991.7,12769,-0.3278020470970977,-0.5958779933463207
8,94,21,2116548608,13,-0.7372222839844196,0,0,180.5,10683,-0.9981942035663498,2.553013924571773
4,98,21,1882252849,13,1.4237862984270924,0,0,13.0,332,1.1805803049587196,-0.7147041034564375
1,98,21,1091086942,13,1.4237862984270924,0,0,1.0,8801,0.8453842267240934,1.0676875481953134
0,118,21,1567929437,13,-0.7502897599473313,0,0,0.0,571,-1.1657922426836629,1.0676875481953134
3,127,21,2012952900,13,-0.6402099595233097,0,0,126.0,1448,0.17499207025484137,-1.0117693787317295
0,141,21,2025414679,13,-0.6402099595233097,0,0,0.0,241,0.3425901093721544,0.9488614380851967
105857,159,21,1038554387,13,-1.3006887620674386,1,1,5408916.95,7307,0.6777861876067804,-0.41763882818114567
18220,156,21,1003614822,13,-1.3061927520886396,1,1,6225354.98,11027,-0.49540008621441073,-0.41763882818114567
67,152,21,1337941715,13,-0.7778097100533365,0,0,61456.0,9438,0.007394031137528341,1.0676875481953134
2388,152,9,461687407,5,-0.46342151383485025,0,0,516318.42483125924,7256,-0.3278020470970977,0.7706222729200217
0,154,21,1921736821,13,-0.502610208993283,0,0,0.0,12199,-0.6629981253317238,-0.6552910484013792
1,154,21,1709556203,13,-0.6402099595233097,0,0,10.0,1725,0.5101881484894674,-0.7147041034564375
0,155,21,1186589932,13,0.1853885436568511,0,0,0.0,11022,-1.668586360035602,-2.259443534887955
2,157,21,158900247,13,0.3229882941868779,0,0,70.0,3408,0.007394031137528341,1.0676875481953134
1,157,1,1086754180,0,1.228236165281794,0,0,0.92894241,1527,1.0129822658414065,1.0676875481953134
26828,158,21,1282890542,13,-1.3268327146681436,0,1,5333792.84,8006,0.007394031137528341,-0.41763882818114567
6,159,21,321109934,13,1.4237862984270924,0,0,56.0,7599,-0.16020400797978468,1.0676875481953134
0,164,21,2000215951,13,-0.22741070793322934,0,0,0.0,12566,0.3425901093721544,-0.12057355290585385
0,167,21,1507692024,13,-0.502610208993283,0,0,0.0,3797,0.6777861876067804,-0.7147041034564375
